"Published on","Unique ID","Target","Indicator","Indicator Code","Question Number","Question","Response"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","14.b Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework","14.b","14.5","Are policies, regulations, strategies or plans in place to progressively align fiscal and financial flows with the goals and targets of the Framework?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT13. By 2030, establish systems to monitor and transparently report the impacts, risks, and outcomes of business activities regarding biodiversity.","15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production","15.b","15.1","Has your country put in place legal, administrative or policy measures to ensure that large and transnational companies and financial institutions monitor, assess and transparently disclose their risks, dependencies and impacts on biodiversity along their operations, supply and value chains, and portfolios?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT13. By 2030, establish systems to monitor and transparently report the impacts, risks, and outcomes of business activities regarding biodiversity.","15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production","15.b","15.2","Has your country put in place measures to ensure that large and transnational companies and financial institutions provide relevant information to consumers to promote sustainable consumption patterns?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT13. By 2030, establish systems to monitor and transparently report the impacts, risks, and outcomes of business activities regarding biodiversity.","15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production","15.b","15.3","Has your country put in place measures to ensure that large and transnational companies and financial institutions report on compliance with access and benefit-sharing regulations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT13. By 2030, establish systems to monitor and transparently report the impacts, risks, and outcomes of business activities regarding biodiversity.","15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production","15.b","15.4","Has your country put in place measures to ensure that large and transnational companies and financial institutions progressively reduce their negative impacts on biodiversity and increase their positive impacts?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT13. By 2030, establish systems to monitor and transparently report the impacts, risks, and outcomes of business activities regarding biodiversity.","15.b Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production","15.b","15.5","Does your country monitor whether negative impacts from business on biodiversity have progressively decreased?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT14. By 2030, minimize overconsumption and waste through supporting public education on sustainable consumption.","16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices","16.b","16.1","Has your country established mechanisms, policy or legislative or regulatory frameworks aimed at supporting sustainable consumption?","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT14. By 2030, minimize overconsumption and waste through supporting public education on sustainable consumption.","16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices","16.b","16.2","Has your country adopted mechanisms to improve awareness or education with regard to the impacts of consumption on biodiversity and access to relevant and accurate information or alternatives supporting sustainable consumption?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT14. By 2030, minimize overconsumption and waste through supporting public education on sustainable consumption.","16.b Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices","16.b","16.3","Has your country adopted or implemented policy instruments aimed at encouraging and enabling people to make sustainable consumption choices, including by reducing food waste, over consumption and waste generation?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.1","Has your country established biosafety-related policy, legal, administrative and other measures as set out in Article 8(g) of the Convention?","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.2","Does your country implement biosafety measures as set out in Article 8(g) of the Convention?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.3","Has your country taken legislative, administrative or policy measures, as appropriate, to provide for the effective participation in biotechnological research activities by those Parties, especially developing countries, that provide the genetic resources for such research, as set out in paragraph 1 of Article 19 of the Convention?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.4","Has your country taken practicable measures to promote and advance priority access on a fair and equitable basis by Parties, especially developing countries, to the results and benefits arising from biotechnologies based on genetic resources provided by those Parties, as set out in paragraph 2 of Article 19 of the Convention?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.5","Does your country carry out scientifically sound risk assessments on the use and release of living modified organisms?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT15. By 2030, enhance the legislative, governance, and monitoring systems for genetically modified organisms.","17.b Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19","17.b","17.6","Does your country provide access to biosafety-related information for the safe transfer, handling and use of living modified organisms?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.1","Does your country have plans, policies or instruments for addressing capacity-building and development needs for biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.2","Does your country have measures to ensure the full and effective participation of indigenous peoples and local communities, women and girls, children and youth and people with disabilities in capacity-building and development for the conservation and sustainable use of biodiversity? (Select all that apply)","indigenousPeoplesLocalCommunities"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.3","Has your country undertaken a national capacity self-assessment or other processes for assessing the capacity needs for the conservation and sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.4","Has your country undertaken a national assessment of the capacity-building and development needs of indigenous peoples and local communities, women and girls, children and youth and people with disabilities for the conservation and sustainable use of biodiversity? (Select all that apply)","none"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.5","Has your country established partnerships to foster joint technology development and joint scientific research programmes for the conservation and sustainable use of biodiversity and strengthening scientific research and monitoring capabilities, including through South-South, North-South and triangular cooperation?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT18. Strengthen capacity-building and development, access to and transfer of technology, and promote development of and access to innovation and technical and scientific cooperation in biodiversity conservation.","20.b Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation","20.b","20.5.1","Specify for each type of partnership (optional)","Mongolia has established and is implementing partnerships that foster joint technology development and joint scientific research programmes for the conservation and sustainable use of biodiversity, and that strengthen national scientific research and monitoring capabilities. These partnerships are enabled through national laws and policies supporting science, innovation and technology transfer, and are implemented through a mix of South–South, North–South and triangular/multilateral cooperation mechanisms. Mongolia participates in joint international research projects and programmes with multiple partner countries and institutions, and contributes to—and benefits from—global biodiversity data infrastructure and capacity-building initiatives to improve biodiversity information management, monitoring and evidence-based decision-making."
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","20.5.1 (a)","Ensure full, equitable, inclusive, effective and gender-responsive representation and participation in biodiversity decision-making related to biodiversity of the following (select all that apply):","other"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(a)(other)","Please specify","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(a)(other) (b)","Respect the following rights and cultures of indigenous peoples and local communities (select all that apply):","rightsOverTraditionalKnowledge"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(a)(other) (c)","Ensure the full protection of environmental human rights defenders?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(a)(other) (d)","Ensure public access to information related to biodiversity for the following (select all that apply):","other"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(d)(other)","Please specify","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.1(d)(other) (e)","Provide access to justice for one or more of the following categories (select all that apply):","womenGirls; childrenYouth; indigenousPeoplesLocalCommunities"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.2","Does your country have operational frameworks and mechanisms related to the policy, legislative and administrative frameworks listed under question 22.1?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.2 (a)","The full, equitable, inclusive, effective and gender-responsive representation and participation in biodiversity decision-making of the following (select all that apply):","other"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.3(a)(other)","Please specify","NA"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.3(a)(other) (b)","The following culture and rights of indigenous peoples and local communities (select all that apply):","notApplicable"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","22.b Number of countries taking action towards the full, equitable, inclusive, effective and gender responsive representation and participation in decision-making, and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders","22.b","22.3(a)(other) (c)","The full protection of environmental human rights defenders?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","23.b Number of countries with legal, administrative or policy frameworks, inter alia, to implement the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources","23.b","23.1","Does your country have mechanisms for facilitating the full, equitable, meaningful and informed participation and leadership of all women and girls at all levels of action, engagement, policy and decision-making related to biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","23.b Number of countries with legal, administrative or policy frameworks, inter alia, to implement the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources","23.b","23.2","Has your country adopted legal, administrative or policy measures that explicitly recognize and protect the rights and access of all women and girls to land and natural resources?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","23.b Number of countries with legal, administrative or policy frameworks, inter alia, to implement the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources","23.b","23.3","Does your country explicitly apply a gender-responsive approach and recognize the contributions and roles of women and girls in its implementation of the Framework through its national reports or its national biodiversity strategy and action plan?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT20. By 2030, ensure full, equitable, inclusive, effective, and gender-responsive representation and participation in decision-making and implementation related to biodiversity and ensure rights over relevant resources of local communities, women and girls as well as youth.","23.b Number of countries with legal, administrative or policy frameworks, inter alia, to implement the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources","23.b","23.4","Does your country conduct sex-disaggregated data collection and analyses to assess the differential impacts of biodiversity policies and programmes?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1","Is your country landlocked?","Yes"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1 (a)","Address land-use (terrestrial) change?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1 (b)","Address land-use (inland water) change?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT01. By 2030, reduce biodiversity loss and maintain ecological integrity by including all territory in spatial planning and ensuring effective management.","1.b Number of countries using participatory, integrated and biodiversity-inclusive spatial planning and/or effective management processes addressing land- and sea-use change to bring the loss of areas of high biodiversity importance close to zero by 2030","1.b","1.2","If the answer to any of the questions in 1.1 is not “No”, were the plans created using a participatory process? (Select all that apply, noting that, if your country is a landlocked State, marine spatial planning will be considered as not relevant)","forTerrestrialPlanning"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.1","Does your country have regulations and processes empowering relevant institutions to implement the measures necessary for a reduction in the introduction and impact of invasive alien species?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.2","Does your country have measures in place for preventing the introduction and establishment of invasive alien species?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT05. By 2030, register, control, and assess the impacts of invasive alien species, while building the capacity to combat and prevent their adverse effects.","6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species","6.b","6.3","Does your country have measures in place for eradicating or controlling invasive alien species?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.1","Does your country have policies and/or action plans aimed at ensuring the maintenance, enhancement and restoration of nature's contributions to people, including of ecosystem functions and services?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.2","Does your country have policies and/or action plans aimed at ensuring the sustainable use of biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.3","Does your country monitor the sustainable use of biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT06. By 2030, reduce pollution from all sources to levels that are not harmful to biodiversity and ecosystem functions and human health.","B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services","B.b","B.4","Does your country monitor the maintenance, restoration and enhancement of nature's contributions to people, including ecosystem functions and services for the benefit of present and future generations?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.1","Does your country’s national biodiversity strategy and action plan include actions to prevent or minimize the impacts of the following (select all that apply):","climateChange"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.2","Do your country’s climate change policies address the impacts of climate change on biodiversity?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.3","Do your country’s other policies address the impacts of climate change on biodiversity? ","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.4","Do your country’s other policies address the impacts of ocean acidification on biodiversity? ","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.5","Are the impacts of climate change on biodiversity monitored and reported on?","Partially"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.6","Are the impact of ocean acidification on biodiversity monitored and reported on?","No"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.7","Do your country’s policies or action plans on the impact of climate change and ocean acidification contain the following types of actions designed to increase biodiversity resilience or reduce impacts (select all that apply):","mitigation; adaptation; disasterRiskReduction"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.8","Are measures included in your country’s policies or actions plans to minimize the negative impacts of climate actions on biodiversity?","Under development"
"28-Feb-2026 18:58","ORT-NR7BID-MN-288706-1","NT07. By 2030, minimize the impact of climate change on biodiversity and increase its resilience through mitigation, adaptation, and disaster risk reduction actions through nature-based solution and ecosystem-based approaches.","8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity","8.b","8.9","Are measures included in your country’s policies or actions plans to foster positive impacts of climate actions on biodiversity?","Partially"
